Rozpoczynam trening DQN (run 15) | Urządzenie: cpu
Krok 4000/250000 | Epizod 5 | Śr. Nagroda/Agenta: -1556.41 | Epsilon: 0.962
Krok 8000/250000 | Epizod 10 | Śr. Nagroda/Agenta: -801.33 | Epsilon: 0.924
Krok 12000/250000 | Epizod 15 | Śr. Nagroda/Agenta: -2084.16 | Epsilon: 0.886
Krok 16000/250000 | Epizod 20 | Śr. Nagroda/Agenta: -3298.26 | Epsilon: 0.848
Krok 20000/250000 | Epizod 25 | Śr. Nagroda/Agenta: -1896.12 | Epsilon: 0.810
Krok 24000/250000 | Epizod 30 | Śr. Nagroda/Agenta: -2706.14 | Epsilon: 0.772
Krok 28000/250000 | Epizod 35 | Śr. Nagroda/Agenta: -4894.53 | Epsilon: 0.734
Krok 32000/250000 | Epizod 40 | Śr. Nagroda/Agenta: -3806.25 | Epsilon: 0.696
Krok 36000/250000 | Epizod 45 | Śr. Nagroda/Agenta: -3399.54 | Epsilon: 0.658
Krok 40000/250000 | Epizod 50 | Śr. Nagroda/Agenta: -2395.27 | Epsilon: 0.620
Krok 44000/250000 | Epizod 55 | Śr. Nagroda/Agenta: -2372.62 | Epsilon: 0.582
Krok 48000/250000 | Epizod 60 | Śr. Nagroda/Agenta: -753.36 | Epsilon: 0.544
Krok 52000/250000 | Epizod 65 | Śr. Nagroda/Agenta: -3174.94 | Epsilon: 0.506
Krok 56000/250000 | Epizod 70 | Śr. Nagroda/Agenta: -845.64 | Epsilon: 0.468
Krok 60000/250000 | Epizod 75 | Śr. Nagroda/Agenta: -658.38 | Epsilon: 0.430
Krok 64000/250000 | Epizod 80 | Śr. Nagroda/Agenta: -3278.56 | Epsilon: 0.392
Krok 68000/250000 | Epizod 85 | Śr. Nagroda/Agenta: -1110.06 | Epsilon: 0.354
Krok 72000/250000 | Epizod 90 | Śr. Nagroda/Agenta: -614.19 | Epsilon: 0.316
Krok 76000/250000 | Epizod 95 | Śr. Nagroda/Agenta: -691.77 | Epsilon: 0.278
Krok 80000/250000 | Epizod 100 | Śr. Nagroda/Agenta: -2202.52 | Epsilon: 0.240
Krok 84000/250000 | Epizod 105 | Śr. Nagroda/Agenta: -3537.39 | Epsilon: 0.202
Krok 88000/250000 | Epizod 110 | Śr. Nagroda/Agenta: -1095.58 | Epsilon: 0.164
Krok 92000/250000 | Epizod 115 | Śr. Nagroda/Agenta: -1311.74 | Epsilon: 0.126
Krok 96000/250000 | Epizod 120 | Śr. Nagroda/Agenta: -871.66 | Epsilon: 0.088
Krok 100000/250000 | Epizod 125 | Śr. Nagroda/Agenta: -4410.43 | Epsilon: 0.050
Krok 104000/250000 | Epizod 130 | Śr. Nagroda/Agenta: -1717.05 | Epsilon: 0.050
Krok 108000/250000 | Epizod 135 | Śr. Nagroda/Agenta: -862.48 | Epsilon: 0.050
Krok 112000/250000 | Epizod 140 | Śr. Nagroda/Agenta: -1441.51 | Epsilon: 0.050
Krok 116000/250000 | Epizod 145 | Śr. Nagroda/Agenta: -1308.63 | Epsilon: 0.050
Krok 120000/250000 | Epizod 150 | Śr. Nagroda/Agenta: -696.58 | Epsilon: 0.050
Krok 124000/250000 | Epizod 155 | Śr. Nagroda/Agenta: -709.73 | Epsilon: 0.050
Krok 128000/250000 | Epizod 160 | Śr. Nagroda/Agenta: -876.23 | Epsilon: 0.050
Krok 132000/250000 | Epizod 165 | Śr. Nagroda/Agenta: -575.47 | Epsilon: 0.050
Krok 136000/250000 | Epizod 170 | Śr. Nagroda/Agenta: -677.61 | Epsilon: 0.050
Krok 140000/250000 | Epizod 175 | Śr. Nagroda/Agenta: -558.25 | Epsilon: 0.050
Krok 144000/250000 | Epizod 180 | Śr. Nagroda/Agenta: -572.86 | Epsilon: 0.050
Krok 148000/250000 | Epizod 185 | Śr. Nagroda/Agenta: -670.36 | Epsilon: 0.050
Krok 152000/250000 | Epizod 190 | Śr. Nagroda/Agenta: -515.37 | Epsilon: 0.050
Krok 156000/250000 | Epizod 195 | Śr. Nagroda/Agenta: -531.89 | Epsilon: 0.050
Krok 160000/250000 | Epizod 200 | Śr. Nagroda/Agenta: -690.82 | Epsilon: 0.050
Krok 164000/250000 | Epizod 205 | Śr. Nagroda/Agenta: -615.85 | Epsilon: 0.050
Krok 168000/250000 | Epizod 210 | Śr. Nagroda/Agenta: -710.75 | Epsilon: 0.050
Krok 172000/250000 | Epizod 215 | Śr. Nagroda/Agenta: -755.76 | Epsilon: 0.050
Krok 176000/250000 | Epizod 220 | Śr. Nagroda/Agenta: -788.87 | Epsilon: 0.050
Krok 180000/250000 | Epizod 225 | Śr. Nagroda/Agenta: -1317.30 | Epsilon: 0.050
Krok 184000/250000 | Epizod 230 | Śr. Nagroda/Agenta: -1919.23 | Epsilon: 0.050
Krok 188000/250000 | Epizod 235 | Śr. Nagroda/Agenta: -3064.47 | Epsilon: 0.050
Krok 192000/250000 | Epizod 240 | Śr. Nagroda/Agenta: -3063.08 | Epsilon: 0.050
Krok 196000/250000 | Epizod 245 | Śr. Nagroda/Agenta: -3899.69 | Epsilon: 0.050
Krok 200000/250000 | Epizod 250 | Śr. Nagroda/Agenta: -2015.58 | Epsilon: 0.050
Krok 204000/250000 | Epizod 255 | Śr. Nagroda/Agenta: -765.92 | Epsilon: 0.050
Krok 208000/250000 | Epizod 260 | Śr. Nagroda/Agenta: -2681.87 | Epsilon: 0.050
Krok 212000/250000 | Epizod 265 | Śr. Nagroda/Agenta: -2522.26 | Epsilon: 0.050
Krok 216000/250000 | Epizod 270 | Śr. Nagroda/Agenta: -1163.09 | Epsilon: 0.050
Krok 220000/250000 | Epizod 275 | Śr. Nagroda/Agenta: -1608.99 | Epsilon: 0.050
Krok 224000/250000 | Epizod 280 | Śr. Nagroda/Agenta: -4388.25 | Epsilon: 0.050
Krok 228000/250000 | Epizod 285 | Śr. Nagroda/Agenta: -1740.87 | Epsilon: 0.050
Krok 232000/250000 | Epizod 290 | Śr. Nagroda/Agenta: -2780.09 | Epsilon: 0.050
Krok 236000/250000 | Epizod 295 | Śr. Nagroda/Agenta: -1690.32 | Epsilon: 0.050
Krok 240000/250000 | Epizod 300 | Śr. Nagroda/Agenta: -5477.50 | Epsilon: 0.050
Krok 244000/250000 | Epizod 305 | Śr. Nagroda/Agenta: -4047.70 | Epsilon: 0.050
Krok 248000/250000 | Epizod 310 | Śr. Nagroda/Agenta: -5160.12 | Epsilon: 0.050

Trening zakończony pomyślnie. Wagi zapisano w D:\Intersection_RL\Intersection-management-using-RL\src\outputs\ppo_models_weights_15.pth.
